region,lat,long,node_id
CA,35.294502,-118.85400366,2C559EQ2_7_N001
PGE,45.36482999998227,-122.59793626294005,ABRN_LNODEWR1
PGE,45.36482999998227,-122.59806373705996,ABRN_LNODEWR2
CA,37.632663,-121.78572866,ADCC_2_N001
CA,37.74,-121.4866,AEC300_1_N001
CA,37.51,-121.8466,AGNEW_1_N003
CA,34.042605,-117.36270766,AGUAMNSA_7_B1
CA,36.65,-119.5466,AIRPROD_1_N001
LADWP,33.96205409081493,-118.37666,AIR_SUB_LNODENAA
LADWP,33.961972954579615,-118.37594352117388,AIR_SUB_LNODENAB
LADWP,33.961972954579615,-118.37605647882611,AIR_SUB_LNODEONC
CA,33.771584,-118.10059666,ALAMITOS_2_N001
CA,33.77,-118.166,ALAMITOS_2_N040
CA,38.575917,-121.49784666,ALAMOSC_7_N001
CA,33.771583999952796,-118.10048775137713,ALAMT1G_7_B1
CA,33.77149401717401,-118.10048775149086,ALAMT1G_7_N002
CA,33.77143038978412,-118.10056429476927,ALAMT2G_7_B1
CA,33.771415173499584,-118.10067098425148,ALAMT2G_7_N002
CA,33.765977986588545,-118.10366366,ALAMT3G_7_B1
CA,33.77144633917227,-118.10077253262284,ALAMT3G_7_N002
CA,33.76589700669301,-118.10360675930583,ALAMT4G_7_B1
CA,33.771511965310076,-118.10084659342048,ALAMT4G_7_N002
CA,33.76589700669301,-118.10371924069416,ALAMT5G_7_B1
CA,33.771597006833865,-118.10088197120557,ALAMT5G_7_N002
CA,33.771686855225234,-118.10087605729072,ALAMT6G_7_B1
CA,33.77176916262267,-118.10083231072663,ALAMT6G_7_N002
PGE,45.5161199999822,-122.63174111354496,ALDR_LNODEWR1
PGE,45.5161199999822,-122.6318688864551,ALDR_LNODEWR2
CA,37.99408499998608,-122.13031167024367,ALHAMBRA_1_N001
CA,37.99408499998608,-122.13042632975633,ALHAMBRA_1_N002
CA,39.464893000000004,-120.84494666,ALLEGHNY_6_N001
CA,37.26027,-121.89008266,ALMADEN_6_N001
CA,37.788781,-122.28941866,ALMDACT1_7_B1
CA,38.72860599998584,-121.30288146337324,ALMDACT2_7_B1
CA,35.96341,-119.45679666,ALPAUGH_1_N001
CA,32.82778299998866,-116.78987271391081,ALPINE_6_N001
CA,32.82778299998866,-116.78997928608919,ALPINE_6_N005
CA,34.86020621378198,-116.85318766,ALTA1G_7_B1
CA,34.859848,-116.86323966,ALTA2G_7_B1
CA,34.87,-116.8466,ALTA30ST_7_B1
CA,34.87,-116.8866,ALTA31GT_7_B1
CA,34.87,-116.8666,ALTA40ST_7_B1
CA,34.87,-116.8566,ALTA41GT_7_B1
CA,35.034468999987546,-118.28400189198646,ALTA6B2_7_N003
CA,35.034468999987546,-118.28411210801356,ALTA6E2_7_N002
CA,35.038348999987576,-118.29271189112849,ALTAD1_7_N006
CA,35.038348999987576,-118.29282210887156,ALTAD2_7_N006
CA,38.728606,-122.28941866,ALTMMDW_2_N001
CA,37.89825299998615,-122.52430271885964,ALTO_6_N001
CA,37.89825299998615,-122.52441728114037,ALTO_6_N101
CA,38.43,-121.7966,AMERIGAS_1_N001
CA,37.41751022008469,-122.06619266,AMESBS_1_N004
CA,37.41742888994297,-122.06613287861067,AMESBS_1_N101
CA,37.41742888994297,-122.06625112138934,AMESDST_1_N001
CA,38.369191999986,-120.79657754861614,AMFORST_6_N001
CA,36.269444,-119.64833366,AMSTGSW_6_N004
PGE,45.113019999982384,-123.23791245083008,AMTY_LNODEBR1
PGE,45.113019999982384,-123.23803954916994,AMTY_LNODEBR2
CA,33.853163,-117.85799566,ANAHEIMG_7_B1
CA,40.449838,-122.30506866,ANDERSON_6_N001
CA,35.992007,-119.5713766,ANGIOLA_6_N001
CA,39.811047,-121.91976166,ANITA_6_N001
CA,38.680315,-123.31178266,ANNAPOLS_6_N001
CA,35.658117,-119.99601566,ANTELOPE_6_N001
CA,40.893581,-122.37924466,ANTLER_6_N001
